variant,est_sales_30d
quencher 40oz pink,155.6
quencher 40oz purple,46.7
quencher 30oz pink,31.1
flip straw 40oz pink,15.6
quencher 40oz red,15.6
quencher 40oz cream,15.6
quencher 1.12l pink,15.6
16oz pink,15.6
flip straw 30oz pink,15.6
quencher 40oz grey,15.6
flip straw 20oz purple,15.6
quencher 40oz abricot,15.6
40oz coral,15.6
iceflow 20oz white,15.6
quencher 40oz white,0.0
quencher 30oz purple,0.0
14.0l pink,0.0
0.8l pink,0.0
20oz pink,0.0
20oz coral,0.0
