variant,est_sales_30d
40oz pink,50.3
1.18l pink,38.2
1.18l cream,13.9
40oz cream,12.2
1.2l pink,6.9
20oz pink,5.2
1.18l purple,5.2
1.18l white,5.2
40oz purple,5.2
0.9l white,3.5
1.18l black,3.5
30oz pink,3.5
30oz grey,3.5
1.18l turquoise,3.5
0.89l blue,3.5
40oz black,3.5
40oz white,3.5
40oz coral,3.5
1.2l blue,3.5
1.18l green,3.5
40oz blue,3.5
1.2l purple,3.5
30oz black,1.7
40oz vert foncé,1.7
1.18l blue,1.7
1.18l red,1.7
1.2l cream,1.7
40oz yellow,1.7
1.19l pink,1.7
30oz blue,1.7
20oz black,1.7
14oz blue,1.7
0.89l pink,1.7
40oz green,1.7
40oz grey,1.7
1.18l grey,1.7
0.59l grey,1.7
1.8l pink,1.7
1l grey,1.7
473ml pink,1.7
1l cream,1.7
0.59l brown,1.7
0.6l bleu clair,1.7
887ml green,1.7
30oz green,1.7
40oz doré,1.7
20oz purple,1.7
40oz brown,1.7
30oz purple,0.0
1.2l green,0.0
20oz blue,0.0
0.59l coral,0.0
1.18l brown,0.0
40oz red,0.0
0.9l cream,0.0
40oz abricot,0.0
40oz turquoise,0.0
800ml cream,0.0
1.12l pink,0.0
1.20l bleu clair,0.0
1.2l abricot,0.0
590ml white,0.0
1.2l grey,0.0
0.75l pink,0.0
30oz coral,0.0
0.41l grey,0.0
0.8l cream,0.0
0.89l orange,0.0
0.59l cream,0.0
0.89l purple,0.0
30oz cream,0.0
40oz bleu clair,0.0
1.18l vert foncé,0.0
30oz bleu clair,0.0
1.2l bleu clair,0.0
1.2l white,0.0
1.2l black,0.0
1.2l brown,0.0
1.18l bleu clair,0.0
30oz turquoise,0.0
30ml black,0.0
88l orange,0.0
30oz multicolore,0.0
0.89l green,0.0
