keyword,title,price,likes,views,brand,country,url
Crocs femme,Crocs taille 11 (45),18.0,14,0,Crocs,,https://www.vinted.fr/items/8789407532
Crocs femme,Crocs femme,25.0,20,0,Crocs,,https://www.vinted.fr/items/8859355045
Crocs femme,Neue Crocs Mega Crush für Damen Plateau Gr 41,31.0,21,0,Crocs,,https://www.vinted.fr/items/8860098091
Crocs femme,Crocs,29.99,31,0,Crocs,,https://www.vinted.fr/items/8855241536
Crocs femme,Crocs noir,40.0,21,0,Crocs,,https://www.vinted.fr/items/8859292601
Crocs femme,Tonton daoud pins crocs,1.5,6,0,,,https://www.vinted.fr/items/8853985879
Crocs femme,Crocs jibbitz charms,1.0,20,0,Crocs,,https://www.vinted.fr/items/8856368373
Crocs femme,Crocs 38.39,35.0,23,0,Crocs,,https://www.vinted.fr/items/8857117694
Crocs femme,Crocs rose,26.0,33,0,Crocs,,https://www.vinted.fr/items/8858487331
Crocs femme,Crocs 37-38,35.0,25,0,Crocs,,https://www.vinted.fr/items/8857067564
Crocs femme,Crocs femme,30.0,45,0,Crocs,,https://www.vinted.fr/items/8858533727
Crocs femme,sabot mule crocs rose pale 37-38,28.0,47,0,Crocs,,https://www.vinted.fr/items/8860254795
Crocs femme,Sandalen Crocs,50.0,36,0,Crocs,,https://www.vinted.fr/items/8839224022
Crocs femme,Crocs Classic latte,30.0,56,0,Crocs,,https://www.vinted.fr/items/8859872762
Crocs femme,Classic white Crocs size 39-40 M7 W9,26.0,11,0,Crocs,,https://www.vinted.fr/items/8860222636
Crocs femme,Crocs violet,26.0,27,0,Crocs,,https://www.vinted.fr/items/8858463756
Crocs femme,Crocs originales grises à paillettes,12.0,24,0,Crocs,,https://www.vinted.fr/items/8847311563
Crocs femme,Crocs Classic Marbled Sandal blue bolt/multi,25.0,6,0,Crocs,,https://www.vinted.fr/items/8831415252
Crocs femme,Crocs à plate-forme,35.0,19,0,Crocs,,https://www.vinted.fr/items/8859686853
Crocs femme,Crocs blancs classiques – prix attractif – vente rapide-37,26.98,7,0,Crocs,,https://www.vinted.fr/items/8860614429
Crocs femme,Crocs noires,35.0,39,0,Crocs,,https://www.vinted.fr/items/8844381978
Crocs femme,Lot de 10 pins pour crocs,20.0,7,0,Crocs,,https://www.vinted.fr/items/8860746399
Crocs femme,Crocs compensées femme,40.0,18,0,Crocs,,https://www.vinted.fr/items/8860442533
Crocs femme,Crocs plateforme beige,40.0,23,0,Crocs,,https://www.vinted.fr/items/8857508520
Crocs femme,Crocs,13.0,9,0,Crocs,,https://www.vinted.fr/items/8859509875
Crocs femme,5 pins pour crocs,8.0,55,0,Crocs,,https://www.vinted.fr/items/8814650594
Crocs femme,Crocs blanche,30.0,33,0,Crocs,,https://www.vinted.fr/items/8856973523
Crocs femme,Crocs,30.0,10,0,Crocs,,https://www.vinted.fr/items/8860162518
Crocs femme,Crocs blanches classiques adulte – confortables et légères 38-39,30.0,7,0,Crocs,,https://www.vinted.fr/items/8860040985
Crocs femme,Passeport algerie pins crocs,2.5,11,0,,,https://www.vinted.fr/items/8854353858
Crocs femme,Crocs,15.0,19,0,boutique indépendante,,https://www.vinted.fr/items/8852984193
Crocs femme,Crocs kitchen shoes,48.0,45,0,Crocs,,https://www.vinted.fr/items/8776638317
Crocs femme,Crocs rose,25.0,82,0,Crocs,,https://www.vinted.fr/items/8836700103
Crocs femme,Lot de 10 pins pour crocs,20.0,5,0,Crocs,,https://www.vinted.fr/items/8860804247
Crocs femme,Crocs beige mixte neuf original pt 40,32.0,60,0,Crocs,,https://www.vinted.fr/items/8807118403
Crocs femme,"Crocs à motif floral t38/38,5",15.0,62,0,Crocs,,https://www.vinted.fr/items/8858007686
Crocs femme,Crocs jibbitz charms,1.0,20,0,Crocs,,https://www.vinted.fr/items/8856368373
Crocs femme,Crocs femme,25.0,20,0,Crocs,,https://www.vinted.fr/items/8859355045
