keyword,title,price,likes,views,brand,country,url
Crocs femme,💙 Crocs bleues – taille 41/42 (9–11),35.0,19,0,Crocs,,https://www.vinted.fr/items/8817539051
Crocs femme,Crocs pantoffels,27.0,25,0,Crocs,,https://www.vinted.fr/items/8647362593
Crocs femme,Pins Crocs Chic,1.3,2,0,Crocs,,https://www.vinted.fr/items/8873171777
Crocs femme,Crocs Rainbow Clogs 🌈,8.0,1,0,Crocs,,https://www.vinted.fr/items/8875401112
Crocs femme,"Infradito eleganti, di alta qualità e leggere",55.0,54,0,Crocs,,https://www.vinted.fr/items/8716072619
Crocs femme,sabot mule crocs lila 39-40,29.0,22,0,Crocs,,https://www.vinted.fr/items/8872634188
Crocs femme,"Crocs Schuhe, Größe 45/46",25.0,0,0,Crocs,,https://www.vinted.fr/items/8875421020
Crocs femme,Crocs zwart NIEUW,29.5,46,0,Crocs,,https://www.vinted.fr/items/8873510248
Crocs femme,Zuecos,20.0,0,0,Crocs,,https://www.vinted.fr/items/8875570008
Crocs femme,Blaue Crocs,20.0,4,0,Crocs,,https://www.vinted.fr/items/8873406332
Crocs femme,Crocs sandals,10.0,12,0,Crocs,,https://www.vinted.fr/items/8873274049
Crocs femme,Paire de Crocs rose T.38/39,20.0,10,0,Crocs,,https://www.vinted.fr/items/8874160819
Crocs femme,Silver glitter fur lined crocs,20.0,1,0,Crocs,,https://www.vinted.fr/items/8875386460
Crocs femme,Crocs classics beige / écru – Taille 41,34.0,12,0,Crocs,,https://www.vinted.fr/items/8871332566
Crocs femme,Roze aardbeien crocs,11.0,31,0,Crocs,,https://www.vinted.fr/items/8873728963
Crocs femme,Crocs,10.0,2,0,Crocs,,https://www.vinted.fr/items/8872738886
Crocs femme,Crocs 42-43 léopard neuve,35.0,80,0,Crocs,,https://www.vinted.fr/items/8868910591
Crocs femme,crocs bayaband blanche 38-39,32.0,1,0,Crocs,,https://www.vinted.fr/items/8874929264
Crocs femme,Green crocs,15.0,10,0,Crocs,,https://www.vinted.fr/items/8875067334
Crocs femme,Crocs unisexe rouge,20.0,7,0,Crocs,,https://www.vinted.fr/items/8872003664
Crocs femme,Sac Crocs,25.0,45,0,Crocs,,https://www.vinted.fr/items/8873941117
Crocs femme,Crocs noir,30.0,103,0,Crocs,,https://www.vinted.fr/items/8859577250
Crocs femme,Crocs noir,35.0,55,0,Crocs,,https://www.vinted.fr/items/8869347257
Crocs femme,Crocs Platform,30.0,50,0,Crocs,,https://www.vinted.fr/items/8872537613
Crocs femme,Crocs 41/42 rose,15.0,0,0,Crocs,,https://www.vinted.fr/items/8875453692
Crocs femme,Crocs echo clog noires 36-37,43.0,1,0,Crocs,,https://www.vinted.fr/items/8875173084
Crocs femme,Crocs,40.0,0,0,Crocs,,https://www.vinted.fr/items/8875371703
Crocs femme,Crocs pastel neuf 39,30.0,17,0,Crocs,,https://www.vinted.fr/items/8869428163
Crocs femme,Crocs Classic (38/39),45.0,11,0,Crocs,,https://www.vinted.fr/items/8839561310
Crocs femme,Crocs,20.0,25,0,Crocs,,https://www.vinted.fr/items/8869572423
Crocs femme,Crocs bleu marine taille 36,23.99,7,0,Crocs,,https://www.vinted.fr/items/8872814790
Crocs femme,Sabot Crocs Taille 38/39,32.0,0,0,Crocs,,https://www.vinted.fr/items/8875621762
Crocs femme,Crocs Sandale G41-42,18.0,3,0,Crocs,,https://www.vinted.fr/items/8875014183
Crocs femme,Crocs,25.0,39,0,Crocs,,https://www.vinted.fr/items/8874115008
Crocs femme,Crocs Classic neuves,27.0,18,0,Crocs,,https://www.vinted.fr/items/8870794160
Crocs femme,Crocs,5.0,2,0,,,https://www.vinted.fr/items/8874538120
Crocs femme,Sac Crocs,25.0,45,0,Crocs,,https://www.vinted.fr/items/8873941117
Crocs femme,Crocs bleu marine taille 36,23.99,7,0,Crocs,,https://www.vinted.fr/items/8872814790
Crocs femme,🌸🩵Ultraleichte Sandalen Gr.38 Türkis Rosa,19.0,8,0,Crocs,,https://www.vinted.fr/items/8871190756
Crocs femme,Crocs,13.0,43,0,Crocs,,https://www.vinted.fr/items/8873540600
Crocs femme,Crocs 38-39,29.9,34,0,Crocs,,https://www.vinted.fr/items/8874349164
Crocs femme,Crocs bleue,20.0,14,0,Crocs,,https://www.vinted.fr/items/8871069251
Crocs femme,Crocs noir,30.0,103,0,Crocs,,https://www.vinted.fr/items/8859577250
Crocs femme,Crocs Charms - Animal Crossing,12.0,0,0,Crocs,,https://www.vinted.fr/items/8875754960
Crocs femme,Pin’s pour crocs,5.0,16,0,Crocs,,https://www.vinted.fr/items/8850117281
Crocs femme,Roze aardbeien crocs,11.0,31,0,Crocs,,https://www.vinted.fr/items/8873728963
Crocs femme,Sandalen Crocs,50.0,43,0,Crocs,,https://www.vinted.fr/items/8839224022
Crocs femme,Pins crocs,8.0,92,0,Crocs,,https://www.vinted.fr/items/8849839663
Crocs femme,Sabots Crocs orange 37-38 neuves (prix fixe),29.0,28,0,Crocs,,https://www.vinted.fr/items/8863869152
Crocs femme,Crocs haute taille 40 rose fuchsia,20.0,6,0,Crocs,,https://www.vinted.fr/items/8871328436
Crocs femme,Crocs avec pins,40.0,18,0,Crocs,,https://www.vinted.fr/items/8873847076
Crocs femme,Crocs Classic Clog Beige Stucco - Totalmente Nuevas,40.0,0,0,Crocs,,https://www.vinted.fr/items/8875324207
Crocs femme,Crocs,25.0,18,0,Crocs,,https://www.vinted.fr/items/8874802938
Crocs femme,Crocband Crocs size 37/38,20.0,7,0,Crocs,,https://www.vinted.fr/items/8872433196
Crocs femme,Strandschuhe,28.0,0,0,Crocs,,https://www.vinted.fr/items/8875731795
Crocs femme,Getaway platform flip - crocs,30.0,25,0,Crocs,,https://www.vinted.fr/items/8873905879
Crocs femme,Pinke Brooklyn Low Wedge Sandalen Gr.37-38,24.9,3,0,Crocs,,https://www.vinted.fr/items/8873859142
Crocs femme,Crocs fourrées,20.0,11,0,Crocs,,https://www.vinted.fr/items/8868460938
Crocs femme,Crocs rose,25.0,97,0,Crocs,,https://www.vinted.fr/items/8836700103
Crocs femme,Crocs 35,15.0,15,0,Crocs,,https://www.vinted.fr/items/8867778100
Crocs femme,Crocs taille 11 (45),18.0,16,0,Crocs,,https://www.vinted.fr/items/8789407532
Crocs femme,Crocs schwarz,5.0,12,0,Crocs,,https://www.vinted.fr/items/8872218873
Crocs femme,Crocs plateforme,30.0,62,0,Crocs,,https://www.vinted.fr/items/8863814068
Crocs femme,Crocs,20.0,10,0,Crocs,,https://www.vinted.fr/items/8858146888
Crocs femme,Crocs,15.0,33,0,Crocs,,https://www.vinted.fr/items/8862504997
Crocs femme,Crocs color blossom,30.0,30,0,Crocs,,https://www.vinted.fr/items/8873141464
Crocs femme,CROCS Classic Kaki,23.0,4,0,Crocs,,https://www.vinted.fr/items/8871531293
Crocs femme,Crocs Women's Blue Flipflops,23.0,1,0,Crocs,,https://www.vinted.fr/items/8874871266
