keyword,title,price,likes,views,brand,country,url,status,offers,published_at,age_hours,score,verdict
Crocs femme,Cros Soho two strap sandals,55.0,92,0,Crocs,,https://www.vinted.fr/items/8794166660,active,0,,24.0,6,📈 Growing
Crocs femme,"Infradito eleganti, di alta qualità e leggere",55.0,48,0,Crocs,,https://www.vinted.fr/items/8716072619,active,0,,336.0,-1,⚠️ Low
Crocs femme,Crocs,9.0,17,0,Crocs,,https://www.vinted.fr/items/8858527708,active,0,,13.0,4,➖ Moderate
Crocs femme,CROCS compensée noires,40.0,12,0,Crocs,,https://www.vinted.fr/items/7957922656,active,0,,2160.0,-2,⚠️ Low
Crocs femme,Sabots crocs noirs,28.0,35,0,Crocs,,https://www.vinted.fr/items/8859458324,active,0,,11.0,6,📈 Growing
Crocs femme,Crocs Classic Clogs zwart nieuw 36/37,25.0,33,0,Crocs,,https://www.vinted.fr/items/8860878685,active,0,,8.0,6,📈 Growing
Crocs femme,Crocs neuf 37,30.0,25,0,Crocs,,https://www.vinted.fr/items/8858521995,active,0,,13.0,5,📈 Growing
Crocs femme,Crocs X Bape roses 43 neufs,69.0,23,0,A Bathing Ape (BAPE),,https://www.vinted.fr/items/8851409445,active,0,,24.0,5,📈 Growing
Crocs femme,Chaussures d’eau homme crocs,15.0,23,0,Crocs,,https://www.vinted.fr/items/8833496756,active,0,,72.0,3,➖ Moderate
Crocs femme,Crocs rosa,10.0,28,0,Crocs,,https://www.vinted.fr/items/8861185040,sold,0,,4.0,10,🔥 Trending
Crocs femme,Crocs,25.0,4,0,Crocs,,https://www.vinted.fr/items/8861132133,active,0,,6.0,4,➖ Moderate
Crocs femme,Mules et sabots noir,25.0,0,0,Crocs,,https://www.vinted.fr/items/8858148743,active,0,,13.0,3,➖ Moderate
Crocs femme,Crocs rose | 36-37,29.0,20,0,Crocs,,https://www.vinted.fr/items/8860751206,active,0,,8.0,6,📈 Growing
Crocs femme,Crocs noir,25.0,39,0,Crocs,,https://www.vinted.fr/items/8860476848,active,0,,9.0,6,📈 Growing
Crocs femme,Crocs,13.0,4,0,Crocs,,https://www.vinted.fr/items/8859699575,active,0,,11.0,4,➖ Moderate
Crocs femme,Crocs blanche grosse semelle,25.2,63,0,Crocs,,https://www.vinted.fr/items/8854569038,active,0,,20.0,6,📈 Growing
Crocs femme,Crocs taille 11 (45),18.0,14,0,Crocs,,https://www.vinted.fr/items/8789407532,active,0,,24.0,4,➖ Moderate
Crocs femme,Crocs femme,25.0,20,0,Crocs,,https://www.vinted.fr/items/8859355045,active,0,,11.0,6,📈 Growing
Crocs femme,Neue Crocs Mega Crush für Damen Plateau Gr 41,31.0,21,0,Crocs,,https://www.vinted.fr/items/8860098091,active,0,,10.0,6,📈 Growing
Crocs femme,Crocs,29.99,31,0,Crocs,,https://www.vinted.fr/items/8855241536,active,0,,19.0,5,📈 Growing
Crocs femme,Crocs noir,40.0,21,0,Crocs,,https://www.vinted.fr/items/8859292601,active,0,,11.0,6,📈 Growing
Crocs femme,Tonton daoud pins crocs,1.5,6,0,,,https://www.vinted.fr/items/8853985879,active,0,,21.0,4,➖ Moderate
Crocs femme,Crocs jibbitz charms,1.0,20,0,Crocs,,https://www.vinted.fr/items/8856368373,active,0,,17.0,5,📈 Growing
Crocs femme,Crocs 38.39,35.0,23,0,Crocs,,https://www.vinted.fr/items/8857117694,active,0,,15.0,5,📈 Growing
Crocs femme,Crocs rose,26.0,33,0,Crocs,,https://www.vinted.fr/items/8858487331,active,0,,13.0,5,📈 Growing
Crocs femme,Crocs 37-38,35.0,25,0,Crocs,,https://www.vinted.fr/items/8857067564,active,0,,15.0,5,📈 Growing
Crocs femme,Crocs femme,30.0,45,0,Crocs,,https://www.vinted.fr/items/8858533727,active,0,,13.0,5,📈 Growing
Crocs femme,sabot mule crocs rose pale 37-38,28.0,47,0,Crocs,,https://www.vinted.fr/items/8860254795,active,0,,10.0,6,📈 Growing
Crocs femme,Sandalen Crocs,50.0,36,0,Crocs,,https://www.vinted.fr/items/8839224022,active,0,,48.0,4,➖ Moderate
Crocs femme,Crocs Classic latte,30.0,56,0,Crocs,,https://www.vinted.fr/items/8859872762,active,0,,10.0,7,📈 Growing
Crocs femme,Classic white Crocs size 39-40 M7 W9,26.0,11,0,Crocs,,https://www.vinted.fr/items/8860222636,active,0,,10.0,5,📈 Growing
Crocs femme,Crocs violet,26.0,27,0,Crocs,,https://www.vinted.fr/items/8858463756,active,0,,13.0,5,📈 Growing
Crocs femme,Crocs originales grises à paillettes,12.0,24,0,Crocs,,https://www.vinted.fr/items/8847311563,active,0,,24.0,5,📈 Growing
Crocs femme,Crocs Classic Marbled Sandal blue bolt/multi,25.0,6,0,Crocs,,https://www.vinted.fr/items/8831415252,active,0,,72.0,2,➖ Moderate
Crocs femme,Crocs à plate-forme,35.0,19,0,Crocs,,https://www.vinted.fr/items/8859686853,active,0,,11.0,5,📈 Growing
Crocs femme,Crocs blancs classiques – prix attractif – vente rapide-37,26.98,7,0,Crocs,,https://www.vinted.fr/items/8860614429,active,0,,9.0,5,📈 Growing
Crocs femme,Crocs noires,35.0,39,0,Crocs,,https://www.vinted.fr/items/8844381978,active,0,,48.0,4,➖ Moderate
Crocs femme,Lot de 10 pins pour crocs,20.0,7,0,Crocs,,https://www.vinted.fr/items/8860746399,active,0,,8.0,5,📈 Growing
Crocs femme,Crocs compensées femme,40.0,18,0,Crocs,,https://www.vinted.fr/items/8860442533,active,0,,9.0,5,📈 Growing
Crocs femme,Crocs plateforme beige,40.0,23,0,Crocs,,https://www.vinted.fr/items/8857508520,active,0,,15.0,5,📈 Growing
Crocs femme,Crocs,13.0,9,0,Crocs,,https://www.vinted.fr/items/8859509875,active,0,,11.0,5,📈 Growing
Crocs femme,5 pins pour crocs,8.0,55,0,Crocs,,https://www.vinted.fr/items/8814650594,active,0,,120.0,3,➖ Moderate
Crocs femme,Crocs blanche,30.0,33,0,Crocs,,https://www.vinted.fr/items/8856973523,active,0,,16.0,5,📈 Growing
Crocs femme,Crocs,30.0,10,0,Crocs,,https://www.vinted.fr/items/8860162518,active,0,,10.0,5,📈 Growing
