keyword,title,price,likes,views,brand,country,url
stanley bottle,Stanley All day slim bottle,25.0,12,0,Stanley,,https://www.vinted.fr/items/9120806469
stanley bottle,Stanley cup,30.0,6,0,Stanley,,https://www.vinted.fr/items/9122095654
stanley bottle,"Stanley x LoveShackFancy Quencher H2.0 FlowState Tumbler 1,18L Rosa Schleifenmuster",80.0,54,0,Stanley,,https://www.vinted.fr/items/9120601240
stanley bottle,Stanley cup,30.0,5,0,Stanley,,https://www.vinted.fr/items/9118767025
stanley bottle,Stanley Cup,37.0,43,0,Stanley,,https://www.vinted.fr/items/9114480608
stanley bottle,Stanley Cup,30.0,1,0,Stanley,,https://www.vinted.fr/items/9119906877
stanley bottle,Stanley thermos  25 oz 750 ml Kanne legendary classic bottle flasche,35.0,21,0,Stanley,,https://www.vinted.fr/items/9115392248
stanley bottle,Stanley,20.0,0,0,Stanley,,https://www.vinted.fr/items/9120772934
stanley bottle,Tea bottale,12.0,29,0,Stanley/Stella,,https://www.vinted.fr/items/9131091418
stanley bottle,Stanley | Iceflow Bottle (nieuw),27.5,24,0,Stanley,,https://www.vinted.fr/items/9110184986
stanley bottle,Stanley,30.0,3,0,Stanley,,https://www.vinted.fr/items/9116125879
stanley bottle,Light grey Stanley cup,25.0,6,0,Stanley,,https://www.vinted.fr/items/9112785091
stanley bottle,Original Stanley Flasche,25.0,20,0,Stanley,,https://www.vinted.fr/items/9113767714
stanley bottle,Stanley tumbler water bottle,40.0,1,0,Stanley,,https://www.vinted.fr/items/9112367067
stanley bottle,Purple Stanley Water Bottle,30.0,1,0,Stanley,,https://www.vinted.fr/items/9108973061
stanley bottle,Stanley cup,35.0,10,0,Stanley,,https://www.vinted.fr/items/9106893431
stanley bottle,Stanley Flip Straw Aerolight 700ml,35.0,6,0,Stanley,,https://www.vinted.fr/items/9109430182
stanley bottle,Stanley cup,17.0,12,0,Stanley,,https://www.vinted.fr/items/9106851054
stanley bottle,tumbler loveshakefancy stanley purple,67.0,61,0,Stanley,,https://www.vinted.fr/items/9105947349
stanley bottle,stanley,20.0,42,0,Stanley,,https://www.vinted.fr/items/9093740926
stanley bottle,2 fake Stanley’s,10.0,2,0,Stanley,,https://www.vinted.fr/items/9106824785
stanley bottle,Stanley Cup,30.0,8,0,Stanley,,https://www.vinted.fr/items/9105038193
stanley bottle,Stanley bottle,20.0,6,0,Stanley,,https://www.vinted.fr/items/9098643988
stanley bottle,Stanley Stainless Steel Bottle 591 ml,28.0,17,0,Stanley,,https://www.vinted.fr/items/9096185058
stanley bottle,NEW Stanley Quencher H2.0 FlowState Tumbler 40oz 1.18L Blue Spruce,42.0,4,0,Stanley,,https://www.vinted.fr/items/9106341496
stanley bottle,Stanley Trinkflasche Warm- und Kaltgetränke Go Quick Flip Edelstahl/dunkelgrau,25.0,26,0,Stanley,,https://www.vinted.fr/items/9105839114
stanley bottle,Stanley Quencher H2.0 FlowState Tumbler 1.18 Purple,25.0,24,0,Stanley,,https://www.vinted.fr/items/9092926343
stanley bottle,"Stanley Iceflow Bottle | 0,6L | Nieuw",34.0,21,0,Stanley,,https://www.vinted.fr/items/9091143514
stanley bottle,IceFlow Flip Straw 2.0 Tumbler 0.89L,45.0,8,0,Stanley,,https://www.vinted.fr/items/9103173117
