keyword,title,price,likes,views,brand,country,url,status,offers,published_at,age_hours,score,verdict
Crocs femme,Charms crocs,1.0,0,0,Crocs,,https://www.vinted.fr/items/8872515913,active,0,2026-05-10 15:19:54 CEST,2.0,0,⚠️ Low
Crocs femme,CROCS Classic grise,23.0,6,0,Crocs,,https://www.vinted.fr/items/8871503496,active,0,2026-05-10 12:20:03 CEST,5.0,3,➖ Moderate
Crocs femme,jibbitz crocs,4.0,5,0,Crocs,,https://www.vinted.fr/items/8861666676,active,0,2026-05-09 17:20:05 CEST,24.0,0,⚠️ Low
Crocs femme,Sandales Crocs,35.0,29,0,Crocs,,https://www.vinted.fr/items/8867229495,active,0,2026-05-09 19:20:05 CEST,22.0,3,➖ Moderate
Crocs femme,Crocs paillete,32.0,59,0,Crocs,,https://www.vinted.fr/items/8819332516,active,7,2026-05-04 17:20:15 CEST,144.0,11,🔥 Trending
Crocs femme,Pins crocs carte algerie,2.5,5,0,,,https://www.vinted.fr/items/8869147003,active,0,2026-05-09 23:20:16 CEST,18.0,1,⚠️ Low
Crocs femme,crocs bayaband clog neuve,35.0,46,0,Crocs,,https://www.vinted.fr/items/8872741041,active,3,2026-05-10 13:20:17 CEST,4.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,glitzernde Crocs Clogs # glitzernde Crocs Clogs,23.0,15,0,Crocs,,https://www.vinted.fr/items/8857391023,active,6,2026-05-08 17:20:25 CEST,48.0,12,🔥🔥 Strong Demand
Crocs femme,Sandals Crocs,15.0,14,0,Crocs,,https://www.vinted.fr/items/8862930553,active,0,2026-05-09 17:20:28 CEST,24.0,1,⚠️ Low
Crocs femme,"Original Crocs M5 W7 aubergine ,ca. Gr.37",16.0,21,0,Crocs,,https://www.vinted.fr/items/8862687314,active,0,2026-05-09 17:20:29 CEST,24.0,2,➖ Moderate
Crocs femme,Crocs,20.0,25,0,Crocs,,https://www.vinted.fr/items/8866942729,active,0,,24.0,2,➖ Moderate
Crocs femme,Crocs,30.0,85,0,Crocs,,https://www.vinted.fr/items/8842112468,active,5,2026-05-07 17:20:39 CEST,72.0,13,🔥🔥 Strong Demand
Crocs femme,Crocs kaki,5.0,19,0,Crocs,,https://www.vinted.fr/items/7464683538,active,0,2025-11-11 17:20:41 CET,4320.0,0,⚠️ Low
Crocs femme,Jibbitz,1.0,31,0,Crocs,,https://www.vinted.fr/items/8808889089,active,0,2026-05-09 17:20:47 CEST,24.0,3,➖ Moderate
Crocs femme,Sandales Crocs Noir,18.0,8,0,Crocs,,https://www.vinted.fr/items/8871785593,active,3,2026-05-10 12:20:50 CEST,5.0,16,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs,28.0,17,0,Crocs,,https://www.vinted.fr/items/8783506233,active,0,2026-05-09 17:20:53 CEST,24.0,2,➖ Moderate
Crocs femme,Crocs compensés,25.0,50,0,Crocs,,https://www.vinted.fr/items/8833514051,active,0,2026-05-06 17:20:59 CEST,96.0,1,⚠️ Low
Crocs femme,"zoccoli leggeri, di alta qualità ed eleganti",49.0,15,0,Crocs,,https://www.vinted.fr/items/8860128797,active,0,2026-05-09 17:21:01 CEST,24.0,2,➖ Moderate
Crocs femme,CROCS - classic mary jane clog crocs,40.0,35,0,Crocs,,https://www.vinted.fr/items/8873133461,active,0,2026-05-10 14:21:06 CEST,3.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs,40.0,35,0,Crocs,,https://www.vinted.fr/items/8863582933,active,9,2026-05-09 17:21:11 CEST,24.0,17,🔥🔥🔥 Very Strong Demand
Crocs femme,Sandalen van Crocs maat 10,17.0,3,0,Crocs,,https://www.vinted.fr/items/8875583041,active,0,2023-07-25 17:21:13 CEST,24480.0,0,⚠️ Low
Crocs femme,Crocs,29.9,3,0,Crocs,,https://www.vinted.fr/items/8873285285,active,0,2026-05-10 14:21:18 CEST,3.0,2,➖ Moderate
Crocs femme,Sabot style crocs baya plateform,9.0,53,0,Crocs,,https://www.vinted.fr/items/8729496607,active,0,2026-04-26 17:21:26 CEST,336.0,0,⚠️ Low
Crocs femme,Crocs blanche,10.0,12,0,Crocs,,https://www.vinted.fr/items/8862096836,active,0,2026-05-09 17:21:27 CEST,24.0,1,⚠️ Low
Crocs femme,Crocs,13.0,10,0,Crocs,,https://www.vinted.fr/items/8859509875,active,0,2026-05-09 17:21:31 CEST,24.0,1,⚠️ Low
Crocs femme,Lot de pins pour crocs,20.0,90,0,Crocs,,https://www.vinted.fr/items/8827565582,active,0,2026-05-05 17:21:39 CEST,120.0,2,➖ Moderate
Crocs femme,Crocs rose avec bijoux,10.0,19,0,Crocs,,https://www.vinted.fr/items/8281829270,active,0,2026-03-11 17:21:40 CET,1440.0,0,⚠️ Low
Crocs femme,Crocs neuve,30.0,32,0,Crocs,,https://www.vinted.fr/items/8810731674,active,0,2026-05-09 17:21:48 CEST,24.0,3,➖ Moderate
Crocs femme,Crocs dames  classic Marbled clog maat 37-38,24.5,60,0,Crocs,,https://www.vinted.fr/items/8870198128,active,9,2026-05-10 09:21:49 CEST,8.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs Crush Unisex Original Gr. 38,40.0,4,0,Crocs,,https://www.vinted.fr/items/8873958424,active,0,2026-05-10 15:21:58 CEST,2.0,5,📈 Growing
Crocs femme,Sandalen,13.0,49,0,Crocs,,https://www.vinted.fr/items/8873565461,active,8,2026-05-10 15:21:59 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs baya plateforme,30.0,17,0,,,https://www.vinted.fr/items/8870800563,active,5,2026-05-10 11:22:00 CEST,6.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs unisex,30.0,31,0,Crocs,,https://www.vinted.fr/items/8868452070,active,4,2026-05-09 21:22:09 CEST,20.0,12,🔥🔥 Strong Demand
Crocs femme,Crocs ! voir description !!,8.5,41,0,Crocs,,https://www.vinted.fr/items/8508428083,sold,0,2026-03-29 17:22:10 CEST,1008.0,0,⚠️ Low
Crocs femme,Crocs Noir fourré  taille 39/40 W9,2.0,6,0,Crocs,,https://www.vinted.fr/items/8802870499,active,0,2026-05-09 17:22:11 CEST,24.0,1,⚠️ Low
Crocs femme,Sandales CROCS Nude 40,25.0,4,0,Crocs,,https://www.vinted.fr/items/8873519177,active,0,2026-05-10 14:22:20 CEST,3.0,3,➖ Moderate
Crocs femme,Crocs beige anti-dérapant,15.0,11,0,Crocs,,https://www.vinted.fr/items/8849581339,active,0,2026-05-07 17:22:21 CEST,72.0,0,⚠️ Low
Crocs femme,Lot de 10 pins pour crocs,20.0,12,0,Crocs,,https://www.vinted.fr/items/8860740990,active,0,2026-05-09 17:22:23 CEST,24.0,1,⚠️ Low
Crocs femme,Crocs marrons,35.0,35,0,Crocs,,https://www.vinted.fr/items/8864119179,active,6,2026-05-09 17:22:31 CEST,24.0,15,🔥🔥 Strong Demand
Crocs femme,Crocs rose,22.0,23,0,Crocs,,https://www.vinted.fr/items/8756700467,active,0,2026-05-09 17:22:32 CEST,24.0,2,➖ Moderate
