listing_id,generated_title,brand,product_line,colour,is_accessory,confidence
8273140246,Stanley Flip Straw 20oz (0.59L),Stanley,Flip Straw,,False,low
4471528799,Stanley Rose Quartz,Stanley,,pink,False,low
4501466398,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
9240534108,Stanley,Stanley,,,False,low
9035341701,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
8390200281,Stanley Rose Quartz,Stanley,,pink,False,low
9522870195,Stanley Quencher,Stanley,Quencher,,False,low
8183945352,Stanley Rose Quartz,Stanley,,pink,False,low
9451404898,Stanley 40oz (1.18L),Stanley,,,False,low
7426209618,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
9514285206,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
8597642363,Stanley Rose Quartz,Stanley,,pink,False,low
7149326630,Stanley Quencher,Stanley,Quencher,,False,low
9370750198,Stanley Rose Quartz,Stanley,,pink,False,low
8557030831,Stanley,Stanley,,,False,low
8496471174,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
8950297176,Stanley Rose Quartz,Stanley,,pink,False,low
7770621887,Stanley Rose Quartz,Stanley,,pink,False,low
9525217523,Stanley Quencher,Stanley,Quencher,,False,low
7350572457,Stanley Rose Quartz 40oz (1.18L),Stanley,,pink,False,low
9519226575,Stanley Quencher Rose Quartz,Stanley,Quencher,pink,False,low
6398456372,Stanley,Stanley,,,False,low
9493304802,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
9447407015,Stanley,Stanley,,,False,low
9441267884,Stanley Rose Quartz,Stanley,,pink,False,low
6568703215,Stanley,Stanley,,,False,low
4284804283,Stanley Rose Quartz,Stanley,,pink,False,low
9523933606,Stanley,Stanley,,,False,low
6720290424,Stanley accessory — not a bottle,Stanley,,,True,low
9341854727,Stanley 40oz (1.18L),Stanley,,,False,low
9522075061,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
9348011460,Stanley,Stanley,,,False,low
9475068514,Stanley,Stanley,,,False,low
8861653036,Stanley,Stanley,,,False,low
8747376618,Stanley Rose Quartz,Stanley,,pink,False,low
7847113250,Stanley Rose Quartz,Stanley,,pink,False,low
9487937016,Stanley Quencher,Stanley,Quencher,,False,low
5813968302,Stanley,Stanley,,,False,low
7808901528,Stanley Rose Quartz,Stanley,,pink,False,low
9256870221,Stanley 40oz (1.18L),Stanley,,,False,low
8386835192,Stanley accessory — not a bottle,Stanley,Quencher,,True,low
6977988025,Stanley,Stanley,,,False,low
9466868000,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
7814029479,Stanley Quencher,Stanley,Quencher,,False,low
8367597923,Stanley,Stanley,,,False,low
7598750418,Stanley,Stanley,,,False,low
9195769615,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
9467707184,Stanley,Stanley,,,False,low
7847889778,Stanley Rose Quartz,Stanley,,pink,False,low
9257792321,Stanley Quencher,Stanley,Quencher,,False,low
6057835473,Stanley,Stanley,,,False,low
9437429036,Stanley Quencher Rose Quartz,Stanley,Quencher,pink,False,low
8777299215,Stanley Rose Quartz,Stanley,,pink,False,low
9446254476,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
9218935294,Stanley Quencher,Stanley,Quencher,,False,low
6304720241,Stanley Quencher Rose Quartz,Stanley,Quencher,pink,False,low
9202468656,Stanley,Stanley,,,False,low
9499839570,Stanley Flip Straw,Stanley,Flip Straw,,False,low
9286034835,Stanley Quencher,Stanley,Quencher,,False,low
4796011350,Stanley Quencher,Stanley,Quencher,,False,low
9499884725,Stanley,Stanley,,,False,low
9392133019,Stanley Quencher Cream 40oz (1.18L),,Quencher,cream,False,low
8529623232,Stanley Quencher,Stanley,Quencher,,False,low
6843432649,Stanley Quencher,Stanley,Quencher,,False,low
8777830096,Stanley Flip Straw Rose Quartz 30oz (0.89L),Stanley,Flip Straw,pink,False,low
9007382730,Stanley,Stanley,,,False,low
9109576966,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
9500763092,Stanley,Stanley,,,False,low
9149239641,Stanley,Stanley,,,False,low
9443747333,Stanley Quencher Lavender,Stanley,Quencher,purple,False,low
9499816209,Stanley Quencher,Stanley,Quencher,,False,low
9433626496,Stanley Quencher,Stanley,Quencher,,False,low
6974454659,Stanley,Stanley,,,False,low
7659471243,Stanley Rose Quartz,Stanley,,pink,False,low
9500723912,Cranberry,,,red,False,low
9538800211,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
9526308535,Stanley Quencher Rose Quartz,Stanley,Quencher,pink,False,low
9537228035,Stanley,Stanley,,,False,low
9446923155,Stanley Quencher Rose Quartz 40oz (1.18L),Stanley,Quencher,pink,False,low
9445353260,Stanley accessory — not a bottle,Stanley,Quencher,,True,low
5807236365,Stanley Rose Quartz,Stanley,,pink,False,low
7894965808,Stanley,Stanley,,,False,low
9297734151,Stanley,Stanley,,,False,low
9292892766,Stanley,Stanley,,,False,low
9484485225,Stanley,Stanley,,,False,low
9422679247,Stanley,Stanley,,,False,low
6157571028,Stanley,Stanley,,,False,low
8590640558,Stanley Rose Quartz,Stanley,,pink,False,low
5661646944,Stanley Rose Quartz,Stanley,,pink,False,low
9414542146,Stanley IceFlow,Stanley,IceFlow,,False,low
9532965174,Stanley Quencher 40oz (1.18L),Stanley,Quencher,,False,low
7377263311,Stanley Quencher 40oz (1.18L),,Quencher,,False,low
